Date,FSDI Ch 54,FSDI Ch 55,FSDI Ch 56,FSDI Ch 57,FSDI Ch 58,FSDI Ch 59,FSDI Ch Ch 60,MDI1 Ch 1 (12-3pm),FSDI Ch 61,MDI1 Ch 2 (9-12pm),FSDI Ch 62,MDI1 Ch 3 (12-3pm),FSDI Ch 63,MDI1 Ch 4 (9-12pm),FSDI Ch 64
"Monday, 11/18/24",Orientation,,,,,,,,,,,,,,
"Tuesday, 11/19/24",FSDI 101,,,,,,,,,,,,,,
"Wednesday, 11/20/24",,,,,,,,,,,,,,,
"Thursday, 11/21/24",FSDI 101,,,,,,,,,,,,,,
"Friday, 11/22/24",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 11/23/24",FSDI 101,,,,,,,,,,,,,,
"Saturday (12 pm - 3 pm), 11/23/24",,,,,,,,,,,,,,,
"Sunday, 11/24/24",,,,,,,,,,,,,,,
"Monday, 11/25/24",,,,,,,,,,,,,,,
"Tuesday, 11/26/24",FSDI 101,,,,,,,,,,,,,,
"Wednesday, 11/27/24",,,,,,,,,,,,,,,
"Thursday, 11/28/24",,,,,,,,,,,,,,,
"Friday, 11/29/24",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 11/30/24",FSDI 102,,,,,,,,,,,,,,
"Saturday (12 pm - 3 pm), 11/30/24",,,,,,,,,,,,,,,
"Sunday, 12/01/24",,,,,,,,,,,,,,,
"Monday, 12/02/24",,,,,,,,,,,,,,,
"Tuesday, 12/03/24",FSDI 102,,,,,,,,,,,,,,
"Wednesday, 12/04/24",,,,,,,,,,,,,,,
"Thursday, 12/05/24",FSDI 102,,,,,,,,,,,,,,
"Friday, 12/06/24",,,,,,,,,,,,,,,
"Saturday (9 am - 12 pm), 12/07/24",FSDI 102,,,,,,,,,,,,,,
"Saturday (12 pm - 3 pm), 12/07/24",,,,,,,,,,,,,,,
"Sunday, 12/08/24",,,,,,,,,,,,,,,
"Monday, 12/09/24",,,,,,,,,,,,,,,
